question,Topic,answer,category,subcategory,satisfied
"Hey, I tried to pay for my new Nike Air Max that I bought for $120, but I goofed and picked the wrong card. I ordered them 4 days ago, and I’m worried my payment might not go through on time due to the wrong card. Is there a chance to switch the payment method before the payment fails?",1,"Yes, you can change your payment method before the payment is due to avoid any potential issues. Make sure to update your payment details in your Klarna app to prevent payment failures, as late fees are added if the payment fails to be collected on the due date.",Payments,Make & manage payments,0
" Just bought concert tickets for $250 through Klarna and my payment is due tomorrow, but I can't figure out how to change my expired credit card in this confusing app",1,"To manage your payment schedule for the Nike sneakers you ordered, make sure your connected card is up to date and has sufficient funds for the payment due tomorrow. If we are unable to collect the payment on the scheduled date, we will try again. If you encounter any issues, ensure you're using the latest version of the Klarna app and check your card details are correct.",Payments,Make & manage payments,1
Purchased winter boots from Macy's using Klarna last week and need to split my upcoming payment between two different cards - is this even possible or am I stuck?,1,"If we are unable to collect the payment on the scheduled date, we will try again. You can extend your next payment date once per order. Go to Purchases, select the order, tap Manage payments, and then Extend due date.",Payments,Make & manage payments,0
"I ordered a pair of Nike sneakers for $120 three days ago, and the payment is due next week. I want to pay it off early using my debit card. Can you guide me?",1,"To pay off your balance early, go to [**Payments**](https://app.klarna.com/to-do/to-pay/) and navigate to the order, then tap **Payment options** to follow the instructions. Your payments are automatically withdrawn from your connected card or bank account according to the agreed payment schedule, but you can make early payments any time you wish.",Payments,Make & manage payments,0
I bought a pair of Nike Air Jordans for $200 last week and the first payment is due next Wednesday. How can I pay off the balance early?,1,"To settle your balance through Klarna, simply go to [Payments](https://app.klarna.com/to-do/to-pay/), choose the purchase you would like to pay, and tap Payment options to follow the instructions.",Payments,Make & manage payments,0
Need help paying off my balance for the Lenovo laptop I bought last week for $899. Can I pay the full amount now instead of waiting for the usual schedule?,1,"To pay off your balance early, first log into your Klarna app. Go to the Payments section, find the Lenovo laptop purchase, and follow the steps to make a full payment instead of the scheduled installments. If you have trouble finding these options, consider contacting Klarna support for further guidance.",Payments,Make & manage payments,0
"I purchased a pair of Nike Air Max sneakers for $120 using my debit card three days ago, and the payment is due tomorrow. Can I switch the payment method to my credit card before the payment is processed?",1,"You can view your current payment plan through the Klarna app: Go to **Payments** to see your orders, then select the order to view your payment plan [**source**](https://app.klarna.com/to-do/to-pay/). If you'd like to change the payment method, please ensure you do so before the due date by reaching out to Klarna customer service for assistance.",Payments,Make & manage payments,0
I just purchased an iPhone 14 Pro for $999 through your app last week and I'm wondering if I can pay it all off at once with a bank transfer instead of the card that I have currently configured?,1,"You can easily pay off your Dyson vacuum early by making a manual payment. Go to [**Payments**](https://app.klarna.com/to-do/to-pay/), navigate to the order, and tap **Payment options** to follow the instructions.",Payments,Make & manage payments,0
"used my debit card for a $300 Nike purchase with Klarna, but that account is being closed next week. Need to urgently switch payments to my Chase credit card but can't find this option anywhere in the settings.",1,"You have not been charged twice. What you're seeing is an authorization hold, which is the reservation of funds on your account to ensure that you have enough funds reserved for the first installment of your Pay in 4 purchase. This pending hold temporarily reduces your available balance but is not actually deducted from your account. It'll be released once the processing of your order is complete, so there's no need to worry about being overcharged.",Payments,Make & manage payments,0
"Bought a Samsung Galaxy S21 for $799 on Klarna, but I might miss tomorrow's payment. Will this go to collections right away?",-1,"If your payment is not registered by the last reminder due date, the debt is transferred to debt collection. Late payments might also be reported to the credit bureaus.",Payments,Make & manage payments,1
What happens if I don't pay on time for my recent purchase?,1,"If you miss the payment deadline for your purchase, your debt can be transferred to a collection agency, and you can't continue using Klarna until the debt is settled. This might also affect your credit score.",Payments,Make & manage payments,0
